,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0015018939971923827,0.000641306688034101,0.09142160415649414,0.011169676389450912,3,1,"{'n_neighbors': 3, 'p': 1}",0.8343131722874815,0.7965167447198009,0.789940118587175,0.8214017381977019,0.8294764906126793,0.8143296528809676,0.017837775713887255,9
1,0.0014199256896972657,0.000516418860322276,0.07739357948303223,0.0036325704408980714,3,2,"{'n_neighbors': 3, 'p': 2}",0.7963418435563583,0.7931488854646142,0.7670868021676571,0.7807789281578581,0.8238643657128529,0.7922441650118681,0.0188774529124879,10
2,0.0010336875915527345,0.0006884167033335617,0.08108716011047364,0.0055759486771533905,5,1,"{'n_neighbors': 5, 'p': 1}",0.848828742784608,0.8135257620702357,0.8100862382309921,0.8351985803460606,0.8389675837169813,0.8293213814297756,0.015017457557952068,4
3,0.0011594772338867187,0.0004941313349368595,0.08137626647949218,0.016497341751720112,5,2,"{'n_neighbors': 5, 'p': 2}",0.8238833448525575,0.8041207540260378,0.8166922151457086,0.7904223884787711,0.8372000965551425,0.8144637598116435,0.016097210368749296,8
4,0.00031933784484863283,0.00041075937410361626,0.19039463996887207,0.22596204093406394,7,1,"{'n_neighbors': 7, 'p': 1}",0.8508922565382594,0.8135823349240954,0.8095681808252222,0.8354410616085828,0.8574284059351691,0.8333824479662656,0.019226040554134776,3
5,0.00185546875,0.0006577579217843429,0.10471591949462891,0.00497179454628551,7,2,"{'n_neighbors': 7, 'p': 2}",0.818310414590279,0.8054937824000862,0.8134603423065114,0.8025775361208702,0.838557150891586,0.8156798452618664,0.012732977520488948,7
6,0.0017740726470947266,0.0006881877678890147,0.10455670356750488,0.004421820504995522,9,1,"{'n_neighbors': 9, 'p': 1}",0.8535161110257841,0.8148580637418392,0.8141619699631814,0.8368219125378045,0.8566033455564058,0.835192280565003,0.0181802448003806,2
7,0.0012618064880371093,0.000817594655512769,0.07512407302856446,0.003417532215889388,9,2,"{'n_neighbors': 9, 'p': 2}",0.8246287385422024,0.8042580267060861,0.8134736134298062,0.8201540142344512,0.8433459055894765,0.8211720597004046,0.013038520420757694,5
8,0.0013080596923828124,0.0004080576322515848,0.08293852806091309,0.002996761559773888,11,1,"{'n_neighbors': 11, 'p': 1}",0.8518381068563525,0.8132492894690058,0.8159150818878246,0.8466036157408606,0.8613861463662381,0.8377984480640563,0.019557941665438505,1
9,0.0006186485290527344,0.0008338542119586874,0.0752295970916748,0.003951513571153814,11,2,"{'n_neighbors': 11, 'p': 2}",0.827978119138738,0.8055974661587632,0.8105746102148709,0.8154053742506371,0.8397205693019314,0.8198552278129881,0.012408287416721236,6
